time,section_raw_DOF1,section_baseline_DOF1,section_relative_DOF1,inertia_raw_DOF1,inertia_baseline_DOF1,inertia_relative_DOF1,dynamic_DOF1,section_raw_DOF2,section_baseline_DOF2,section_relative_DOF2,inertia_raw_DOF2,inertia_baseline_DOF2,inertia_relative_DOF2,dynamic_DOF2,tower_base_shear
0.13999999999999999,527389.5678434973,32443.81251679687,494945.7553267004,-551917.619292433,-159869.7557506284,-392047.8635418046,886993.618868505,-2335510376.8217106,-2335510376.821715,4.291534423828125e-06,-3.917914705650616e-07,0.0,-3.917914705650616e-07,4.683325894393187e-06,886993.618868505
0.15,560746.4244831703,32443.81251679687,528302.6119663734,-485450.78832694254,-159869.7557506284,-325581.0325763142,853883.6445426876,-2335510376.8217144,-2335510376.821715,4.76837158203125e-07,-5.432164985677557e-07,0.0,-5.432164985677557e-07,1.0200536567708807e-06,853883.6445426876
0.16,459861.49604928493,32443.81251679687,427417.68353248807,52666.532105246566,-159869.7557506284,212536.28785587495,214881.39567661312,-2335510376.821721,-2335510376.821715,-6.198883056640625e-06,-1.0214944915487578e-06,0.0,-1.0214944915487578e-06,-5.177388565091867e-06,214881.39567661312
0.17,411584.42185090994,32443.81251679687,379140.6093341131,280370.1673208674,-159869.7557506284,440239.92307149584,-61099.31373738276,-2335510376.821732,-2335510376.821715,-1.71661376953125e-05,-1.3480008613647732e-06,0.0,-1.3480008613647732e-06,-1.5818136833947727e-05,-61099.31373738276
0.18000000000000002,444752.72795022326,32443.81251679687,412308.9154334264,79426.32258480466,-159869.7557506284,239296.07833543303,173012.83709799335,-2335510376.8217497,-2335510376.821715,-3.4809112548828125e-05,-2.0281839475874697e-06,0.0,-2.0281839475874697e-06,-3.2780928601240655e-05,173012.83709799335
0.19000000000000003,304325.6629920681,32443.81251679687,271881.85047527123,482789.64016893617,-159869.7557506284,642659.3959195645,-370777.5454442933,-2335510376.821777,-2335510376.821715,-6.198883056640625e-05,-2.9119057705371057e-06,0.0,-2.9119057705371057e-06,-5.9076924795869144e-05,-370777.5454442933
0.20000000000000004,303176.210815629,32443.81251679687,270732.3982988321,383204.3872963854,-159869.7557506284,543074.1430470138,-272341.74474818166,-2335510376.8218174,-2335510376.821715,-0.00010251998901367188,-4.016280220068419e-06,0.0,-4.016280220068419e-06,-9.850370879360346e-05,-272341.74474818166
0.21000000000000005,394859.5441502887,32443.81251679687,362415.7316334918,-151570.68410886178,-159869.7557506284,8299.071641766612,354116.65999172523,-2335510376.8218756,-2335510376.821715,-0.00016069412231445312,-5.281892813516903e-06,0.0,-5.281892813516903e-06,-0.00015541222950093622,354116.65999172523
0.22000000000000006,239650.6867571259,32443.81251679687,207206.87424032902,342994.8526289973,-159869.7557506284,502864.6083796257,-295657.7341392967,-2335510376.821958,-2335510376.821715,-0.00024318695068359375,-6.690581942369461e-06,0.0,-6.690581942369461e-06,-0.0002364963687412243,-295657.7341392967
0.23000000000000007,226320.97428818326,32443.81251679687,193877.1617713864,330404.53847263864,-159869.7557506284,490274.294223267,-296397.1324518806,-2335510376.8220696,-2335510376.821715,-0.000354766845703125,-8.11764374354304e-06,0.0,-8.11764374354304e-06,-0.00034664920195958196,-296397.1324518806
