time,displacement,displacement_increment,absolute_displacement,acceleration,tower_base_moment,tower_base_shear,damper_force,damper_stroke,ground_displacement,ground_velocity,ground_acceleration
0.0,0.0,0.0,0.2912963367710701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0058836
0.01,1.2254734232941544e-07,1.2254734232941544e-07,0.2912964593184124,0.00490189369323954,-66295.91586184502,-53476.72658665753,-2.201407259345735,-2.2953916545276343e-10,-2.69665e-07,-5.3933e-05,-0.004903
0.02,6.115697117614616e-07,6.115697117614616e-07,0.29129694834078185,0.0048552136988696025,-283752.9242813587,-23032.99902048502,-147.804189536949,-1.5870516067995055e-08,-1.054145e-06,-0.000102963,-0.004903
0.03,1.560226300267864e-06,1.560226300267864e-06,0.2912978969973703,0.003773047671803452,-571560.7480273247,-42973.703271330334,-606.2090261100296,-9.449093790747654e-08,-2.3044099999999998e-06,-0.00014709,-0.0039224
0.04,3.009205938653281e-06,3.009205938653281e-06,0.29129934597700863,0.007611612952520772,-993965.4542710781,81902.40988959244,-1262.8591800837341,-2.8937735077616544e-07,-4.06949e-06,-0.00020592600000000002,-0.0078448
0.05,5.14542194607337e-06,5.14542194607337e-06,0.291301482193016,0.008493181185389703,-1548645.967000246,144045.3036249224,-2095.1002862117166,-6.39509396715976e-07,-6.545505000000001e-06,-0.00028927700000000006,-0.0088254
0.060000000000000005,8.154179884145574e-06,8.154179884145574e-06,0.291304490950954,0.010303701900519826,-2273787.9646553993,225569.71929538317,-3274.7934773818356,-1.1994244013546762e-06,-9.928575e-06,-0.0003873370000000001,-0.0107866
0.07,1.1923371077748879e-05,1.1923371077748879e-05,0.2913082601421475,0.001316745235690123,-2910147.474725008,15711.562747151824,-4803.602191946212,-2.041970255578507e-06,-1.4120640000000001e-05,-0.00045107600000000007,-0.0019612
0.08,1.6220915124598445e-05,1.6220915124598445e-05,0.2913125576861943,0.008196921760231695,-3649723.221950531,184739.5694286889,-6069.019987910746,-3.214254603312039e-06,-1.8901065000000002e-05,-0.0005050090000000001,-0.0088254
0.09,2.1336656673975885e-05,2.1336656673975885e-05,0.29131767342774356,0.015017311342396948,-4605715.3841784,442582.0465901535,-7218.194076184258,-4.719112991824481e-06,-2.4564030000000003e-05,-0.000627584,-0.0156896
