time,Pair1_36_517_DOF1_rel_disp,Pair1_36_517_DOF1_rel_vel,Pair1_36_517_DOF1_damper_force,Pair2_36_518_DOF1_rel_disp,Pair2_36_518_DOF1_rel_vel,Pair2_36_518_DOF1_damper_force,Pair3_107_520_DOF1_rel_disp,Pair3_107_520_DOF1_rel_vel,Pair3_107_520_DOF1_damper_force,Pair4_107_521_DOF1_rel_disp,Pair4_107_521_DOF1_rel_vel,Pair4_107_521_DOF1_damper_force
0.4400000000000002,-0.00021780042125879584,-0.0014882807623631906,-41587.37291465809,-0.00021786036419951804,-0.0014826195605463519,-41460.770886630555,-0.00021780042072014338,-0.0014882807538703201,-41587.37272480349,-0.00021786036366727712,-0.0014826195520560531,-41460.770696688734
0.45000000000000023,-0.00023344415896670023,-0.0016404667792233756,-44955.987757858195,-0.00023346439917135142,-0.0016381874338244628,-44906.00955858737,-0.00023344415833664867,-0.0016404667694315052,-44955.98754318603,-0.0002334643985477114,-0.0016381874240281211,-44906.00934375744
0.46000000000000024,-0.0002503426320641655,-0.0017392278402679569,-47108.445687400024,-0.00025035197090853,-0.0017393269136084621,-47110.592462830646,-0.00025034263132972523,-0.0017392278291777292,-47108.44544708952,-0.00025035197018044575,-0.001739326902511448,-47110.59222237583
0.47000000000000025,-0.0002680774708690714,-0.001807739920710897,-48587.25360743941,-0.00026809474450034676,-0.001809227804750039,-48619.24327594157,-0.00026807747001639237,-0.0018077399081426735,-48587.25333719901,-0.0002680947436539405,-0.001809227792178841,-48619.24300568168
0.48000000000000026,-0.0002865427240252294,-0.0018853107105191382,-50248.13417857621,-0.0002865703235820638,-0.00188588801159066,-50260.44298831749,-0.0002865427230366313,-0.0018853106959061533,-50248.13386699882,-0.000286570322599794,-0.0018858879969900345,-50260.44267702269
0.49000000000000027,-0.00030621277400635916,-0.0020486992857059283,-53702.70542960243,-0.00030622646257200126,-0.002045339786395066,-53632.24362693308,-0.0003062127728569175,-0.0020486992681535603,-53702.705061521214,-0.0003062264614290544,-0.0020453397688671537,-53632.24325924405
0.5000000000000002,-0.0003281112062739344,-0.002330987167809163,-59545.02726490124,-0.00032807539028395505,-0.002324445756000884,-59411.30950621066,-0.00032811120493006496,-0.0023309871464779115,-59545.02682897607,-0.0003280753889468302,-0.0023244457346953823,-59411.30907056693
0.5100000000000002,-0.00035328474783491437,-0.0027037211443852256,-67047.5804766888,-0.00035317537730486515,-0.0026955516481741615,-66885.46001203457,-0.00035328474625617723,-0.002703721118744465,-67047.57996801179,-0.0003531753757330669,-0.002695551622547535,-66885.45950333017
0.5200000000000002,-0.00038232029312010307,-0.0031033879126583256,-74865.62312870972,-0.0003821382204577395,-0.003097016982407019,-74742.64484233671,-0.00038232029126333833,-0.0031033878826904997,-74865.62255035857,-0.00038213821860791364,-0.0030970169524283404,-74742.64426353827
0.5300000000000002,-0.00041503504211864994,-0.003439561887044446,-81286.06396976305,-0.000414812879980464,-0.0034379149221369937,-81254.92472335977,-0.0004150350399420577,-0.0034395618530567735,-81286.06332718724,-0.0004148128778106164,-0.0034379148881191015,-81254.924080151
0.5400000000000003,-0.0004506621799523769,-0.0036858656796985214,-85910.29216077102,-0.00045044243552633256,-0.0036879961870319375,-85950.01621935659,-0.00045066217741698833,-0.0036858656419253154,-85910.2914564356,-0.00045044243299735554,-0.0036879961492186026,-85950.01551435438
0.5500000000000003,-0.0004884391207455041,-0.0038695224789157094,-89318.10315726485,-0.0004882551531965873,-0.003874547347010102,-89410.88017311746,-0.0004884391178143765,-0.0038695224375610232,-89318.10239361049,-0.0004882551502714272,-0.003874547305605463,-89410.87940873909
0.5600000000000003,-0.0005277478248459366,-0.003992218341168833,-91576.70658305097,-0.0005276295536672249,-0.004000332747113085,-91725.58414316968,-0.0005277478214844311,-0.003992218296453355,-91576.70576247537,-0.0005276295503111594,-0.004000332702344593,-91725.58332195476
0.5700000000000003,-0.0005680655285928149,-0.004071322408207496,-93025.49480294716,-0.000568034457637423,-0.00408064804693088,-93195.92073136383,-0.000568065524767486,-0.004071322360171543,-93025.49392488977,-0.0005680344538170623,-0.004080647998846225,-93195.91985281835
0.5800000000000003,-0.0006091572453119365,-0.0041470209356178084,-94406.6472816191,-0.000609218640675091,-0.004156188560603307,-94573.57068850237,-0.000609157240988395,-0.004147020883998856,-94406.64634153758,-0.0006092186363560459,-0.004156188508946085,-94573.56974813927
0.5900000000000003,-0.0006512082244271022,-0.004263174887419362,-96516.17706142091,-0.0006513498364156545,-0.004270050587510151,-96640.68695745901,-0.000651208219565852,-0.004263174831505718,-96516.17604873505,-0.0006513498315585953,-0.004270050531575992,-96640.68594472803
0.6000000000000003,-0.0006949083545188806,-0.0044768511309268445,-100367.17830284078,-0.0006950987149559051,-0.004479725120533608,-100418.72090826913,-0.0006949083490720154,-0.004476851069728864,-100367.17720523562,-0.0006950987095130923,-0.00447972505932221,-100418.71981056423
0.6100000000000003,-0.0007412483057377406,-0.00479113911286002,-105965.53058872861,-0.0007414549656681313,-0.00479152502192544,-105972.35864836864,-0.0007412482996482228,-0.004791139045507948,-105965.52939702904,-0.000741454959582527,-0.004791524954557105,-105972.35745640054
0.6200000000000003,-0.0007910775340513321,-0.0051747065498516705,-112699.54782638897,-0.0007912801476352427,-0.005173511371490358,-112678.72358510765,-0.0007910775272540471,-0.0051747064756634195,-112699.54653379666,-0.0007912801408416492,-0.005173511297276457,-112678.7222920087
0.6300000000000003,-0.0008449431660934592,-0.005598419858568919,-120023.41094204105,-0.0008451328086698795,-0.005597020835437497,-119999.41563921995,-0.0008449431585167699,-0.005598419776891418,-120023.40954118688,-0.0008451328010966319,-0.005597020753727553,-119999.4142377393
0.6400000000000003,-0.0009032182068673955,-0.0060565882962295755,-127819.18223138804,-0.000903390894305689,-0.006054596291731486,-127785.54946668328,-0.0009032181984336418,-0.006056588206485136,-127819.18071620353,-0.0009033908858749606,-0.00605459620193958,-127785.54795059765
0.6500000000000004,-0.0009660882507447066,-0.006517420479231912,-135542.09219660782,-0.0009662536929310461,-0.006517963433340418,-135551.12552787722,-0.0009660882413740635,-0.006517420381589799,-135542.09057208578,-0.0009662536835627344,-0.006517963335615072,-135551.1239019975
0.6600000000000004,-0.0010330776064098324,-0.006880450653786544,-141549.09591935156,-0.0010332793434453813,-0.00688716666951434,-141659.61812155377,-0.0010330775960292748,-0.006880450549453177,-141549.09420222059,-0.0010332793330661283,-0.006887166565061543,-141659.6164027926
0.6700000000000004,-0.0011028729475952848,-0.007078617583303062,-144801.26393185658,-0.0011031761906499238,-0.007092202771393819,-145023.5418147239,-0.0011028729361466094,-0.007078617474015716,-144801.2621433779,-0.0011031761792012207,-0.007092202661964472,-145023.54002460797
0.6800000000000004,-0.0011738477192168306,-0.007116336741012058,-145418.2067135615,-0.0011743121334304996,-0.0071349857847246324,-145722.99280269517,-0.0011738477066570996,-0.007116336628088854,-145418.20486754543,-0.0011743121208693807,-0.007134985671673108,-145722.99095554848
0.6900000000000004,-0.0012448585390141265,-0.007085827218443193,-144919.2370228558,-0.0012455109092151528,-0.007104769372205937,-145229.07798757957,-0.0012448585253106992,-0.007085827102624603,-144919.2351278797,-0.0012455108955091443,-0.007104769256269168,-145229.07609168242
0.7000000000000004,-0.0013154114549991935,-0.007024755978562893,-143919.15033071022,-0.0013162602766909615,-0.007045104122949944,-144252.5586786317,-0.0013154114401254802,-0.0070247558603339175,-143919.14839294457,-0.0013162602618135844,-0.007045104004626869,-144252.5567404453
0.7100000000000004,-0.001385364043831272,-0.006965761787843983,-142951.42440146723,-0.001386402896985689,-0.006983419935986454,-143241.25552195785,-0.0013853640277613766,-0.0069657616668492755,-142951.42241502367,-0.0013864028809114082,-0.0069834198149378935,-143241.2535356362
0.7200000000000004,-0.0014551034198921342,-0.006982113424334559,-143219.81618448405,-0.0014563032119380148,-0.006996643054485839,-143458.19653218373,-0.0014551034025984122,-0.006982113300560086,-143219.8141533561,-0.0014563031946392968,-0.006996642930638805,-143458.1945007098
0.7300000000000004,-0.0015249303012449256,-0.00698326284623471,-143238.67778393347,-0.0015262882468706496,-0.007000363932047518,-143519.2271720428,-0.0015249302827051447,-0.006983262720795215,-143238.67572555036,-0.0015262882283250678,-0.007000363806524585,-143519.22511329787
0.7400000000000004,-0.0015944712040056597,-0.006924917705903689,-142280.46820319953,-0.0015959975430691054,-0.006941495307633426,-142552.88788328806,-0.0015944711842046932,-0.006924917579111818,-142280.46611913064,-0.0015959975232616441,-0.00694149518078701,-142552.88579931945
0.7500000000000004,-0.0016636432743520613,-0.006909496363377798,-142026.93220601717,-0.0016653146283804876,-0.006921921754644923,-142231.2218368716,-0.0016636432532708967,-0.006909496234135312,-142026.9300807203,-0.0016653146072924119,-0.006921921625372984,-142231.2197118541
0.7600000000000005,-0.0017332014974428822,-0.007002148254794088,-143548.49171856334,-0.0017349710380471783,-0.0070093601786984025,-143666.75876204745,-0.0017332014750470748,-0.007002148121094966,-143548.48952582973,-0.0017349710156442655,-0.007009360044994411,-143666.75656968539
0.7700000000000005,-0.0018044525108649734,-0.007248054429622224,-147567.50996436388,-0.001806259746216926,-0.007248381455253175,-147572.8364299184,-0.0018044524870969303,-0.007248054288880165,-147567.50767200193,-0.0018062597224417498,-0.007248381314506871,-147572.83413750798
