Time,Tower_FX,Tower_FY,Tower_MY,Tower_MZ
2.88,-224999.234,28853130.2,-1.550755771E-04,4453174.09
2.89,-162382.194,28869391.6,1.292678358E-05,4200510.26
2.9,-177608.062,28886125.9,-5.392473076E-05,4547436.27
2.91,-122765.493,28903302.3,1.864853805E-04,4206840.69
2.92,-45334.9854,28920891.4,5.823104258E-04,3495646.09
2.93,-46388.1168,28938858.9,7.224108561E-04,3356754.54
2.94,-75043.0268,28957173.2,7.261992908E-04,3490168.94
2.95,-69160.2236,28975806.6,8.168049521E-04,3354317.41
2.96,-221218.075,28994726,2.505319824E-04,4788124.43
2.97,-143106.899,29013910.3,4.673606856E-04,4287965.47
2.98,-91706.1561,29033333.8,6.482558683E-04,3866808.64
2.99,-102520.96,29052963,6.433031613E-04,3906400.88
3,-84087.6236,29072776,7.314310855E-04,3681520.86
3.01,-58576.7349,29092747.4,8.463113737E-04,3341930.58
3.02,-51014.18,29112852.5,9.003942806E-04,3112967.09
3.03,-211.597509,29133070.1,1.098449689E-03,2432239.28
3.04,-81125.2389,29153374.6,8.416283143E-04,2951908.96
3.05,-85095.8272,29173747.9,7.75735733E-04,2906189.85
3.06,-136088.952,29194172.5,5.31724166E-04,3362912.29
3.07,-73693.2687,29214630.7,6.291755911E-04,2804657.47
3.08,-96711.7657,29235103.2,4.904947841E-04,2955089.54
3.09,-122487.835,29255570.5,3.319217287E-04,3182875.47
3.1,-170938.67,29276019.6,8.907042966E-05,3717440.06
3.11,-52645.7386,29296439.4,3.066047384E-04,2700549.96
3.12,-75831.4546,29316812.1,1.917987248E-04,2806756.51
3.13,-58324.1776,29337123.6,1.73965276E-04,2548238.4
3.14,-50948.7085,29357366.1,1.276063346E-04,2368514.6
3.15,92038.7235,29377530.2,3.978715225E-04,807548.392
3.16,474.753618,29397599.8,1.756667074E-04,1250018.5
3.17,30943.1947,29417567.7,1.719154549E-04,699451.598
3.18,-9484.32005,29437429.4,2.605772819E-05,825485.258
3.19,79810.152,29457176.7,1.001061736E-04,-248539.136
3.2,28042.7166,29476799.9,-4.225124343E-05,-105794.213
3.21,-8564.82208,29496290.4,-1.621435988E-04,21307.1142
3.22,43423.9817,29515646.9,-1.65590492E-04,-612279.78
3.23,11313.8882,29534858.1,-2.502662873E-04,-518526.397
3.24,-10393.7512,29553918,-3.097147475E-04,-437947.163
3.25,-42654.754,29572821.5,-3.558330363E-04,-168653.907
3.26,76166.7862,29591563.2,-3.17224127E-04,-1321776.59
3.27,47850.7387,29610133.8,-3.355558597E-04,-1283004.07
3.28,72715.9105,29628528.1,-3.331477402E-04,-1705400.73
3.29,113243.917,29646742.9,-3.277322389E-04,-2312623.03
3.3,238003.816,29664772.2,-3.735877369E-04,-3856717.7
3.31,251414.911,29682609.7,-3.908638243E-04,-4576028.24
3.32,354707.848,29700250.5,-4.783991979E-04,-6209640.55
3.33,323419.407,29717690.8,-4.205744758E-04,-6703903.47
3.34,254862.686,29734930.5,-2.170234609E-04,-6712431.1
3.35,123804.854,29751973.5,2.441419634E-04,-5859200.16
3.36,161257.82,29768817.1,5.4341473E-04,-6322522.18
3.37,134339.526,29785452.2,1.000104589E-03,-6193080.25
3.38,130054.073,29801870.6,1.447711408E-03,-6209152.74
3.39,19639.1624,29818067.8,2.24825059E-03,-5111169.35
3.4,54490.0442,29834035.3,2.72363074E-03,-5172364.96
3.41,50933.6563,29849764.6,3.278138097E-03,-4909144.61
3.42,-83938.546,29865258.6,4.31479921E-03,-3324207.43
3.43,-42262.8741,29880503.6,4.77917022E-03,-3159056.68
3.44,-70907.6071,29895495.9,5.430438914E-03,-2384325.6
3.45,84088.8287,29910230.1,5.133287844E-03,-3410724.75
3.46,130919.26,29924708.4,5.03548392E-03,-3745427.21
3.47,88716.8713,29938939.6,5.273334391E-03,-3333478.7
3.48,72993.7528,29952914.9,5.433638141E-03,-3072386.39
3.49,-144724.772,29966639.6,6.848985606E-03,-742878.91
3.5,-127548.186,29980100.7,7.161183773E-03,-236603.869
3.51,-86572.9557,29993291.8,7.181365207E-03,-13520.2685
3.52,-198997.408,30006224,8.024073682E-03,1590720.92
3.53,-325627.557,30018889.1,9.099443039E-03,3592084.68
3.54,-422642.356,30031274.9,1.01014364E-02,5592896.34
3.55,-358304.118,30043373,9.837368733E-03,6166448.31
3.56,-222892.388,30055190.6,8.567440248E-03,5798859.31
3.57,-58897.7961,30066744.1,6.474811009E-03,4722396.64
3.58,-3445.51074,30078040.2,4.780654698E-03,4259395.02
3.59,133947.242,30089070.3,2.208287328E-03,2786043.7
3.6,11240.4619,30099821,1.760951862E-03,3553693.57
3.61,-40782.3806,30110277.2,1.118028303E-03,3888345.32
3.62,69268.6962,30120438.1,-7.786329311E-04,2734895.23
3.63,25219.1001,30130301.9,-1.378137648E-03,2820601.23
3.64,34402.4254,30139864.3,-2.279943331E-03,2456393.22
3.65,12147.8733,30149121.8,-2.734149618E-03,2396101.85
3.66,-195635.042,30158063.8,-1.106015968E-03,4243025.71
3.67,-101518.794,30166693.4,-1.968428574E-03,3584402.65
3.68,-130451.938,30175004.8,-1.775753804E-03,3931684.32
3.69,-133091.154,30182988.8,-1.836054177E-03,4043935.58
3.7,40908.3023,30190648.8,-3.76650143E-03,2397019.38
3.71,-59498.7077,30197970.8,-3.191733673E-03,3052615.3
3.72,50518.0422,30204955.2,-4.564892697E-03,1830949.53
3.73,-112438.956,30211596.6,-3.140034443E-03,3104455.44
3.74,-123552.21,30217894.5,-2.880057618E-03,3244244.8
3.75,-54068.3991,30223857.8,-3.40432504E-03,2635704.35
3.76,121568.345,30229483.8,-5.280509293E-03,765378.092
3.77,45590.9384,30234766.8,-4.842505359E-03,975556.37
3.78,121187.411,30239710.7,-5.73435595E-03,-140160.883
3.79,-34376.7836,30244318,-4.199518787E-03,918191.747
3.8,123279.52,30248599.8,-5.520456185E-03,-774714.663
3.81,186040.293,30252560.3,-6.132210901E-03,-1868992.38
3.82,241941.283,30256193.6,-6.76356443E-03,-3064703.89
3.83,392845.109,30259509.6,-8.336035323E-03,-5308745.35
3.84,429513.144,30262506.9,-8.931052291E-03,-6747509.61
3.85,272539.753,30265192.3,-7.533435106E-03,-6292530.75
3.86,199416.611,30267588.9,-6.456510538E-03,-6210233.37
3.87,103707.804,30269714.8,-4.952586231E-03,-5642600.87
3.88,22655.1083,30271576.6,-3.44683582E-03,-4942596.38
3.89,-79238.4523,30273177.5,-1.715303595E-03,-3784014.93
3.9,-142534.878,30274519,-3.017553045E-04,-2726946.56
3.91,-219052.45,30275602,1.127219971E-03,-1356752.54
3.92,-131236.442,30276424.9,1.155630814E-03,-1441433.41
3.93,-189540.152,30276997.2,1.987997549E-03,-284032.386
3.94,158693.46,30277324.4,-2.189379556E-04,-3087979.86
3.95,111137.096,30277431.9,-1.424239089E-04,-2793317.9
3.96,11624.4974,30277343.3,2.913314681E-04,-1903361.07
3.97,40311.4267,30277060,4.304328262E-05,-2001578.43
3.98,157093.511,30276599.5,-7.448231129E-04,-3061243.76
