0,-8558.73036849,-160981.424245,-332765.92214,285302.838481,-71059.5706724,-51362.1768524,-35810.4069928,127626.826713,10229.906652,-195538.108818,115939.991709,25624.1580893
1,-175398.170355,-18596.831233,-392850.665592,340130.658874,-127099.05063,60526.3383651,-105309.875476,120137.304896,-106763.919598,-144213.137693,205198.230988,228947.450953
2,-232711.604272,134708.859577,-264192.257837,326882.041033,-77978.0007155,-114534.516326,24827.6374534,64018.8873973,-146448.96054,-270250.105301,117485.857641,126475.867079
3,144756.900161,42741.7342216,-140536.522181,119024.822044,-87868.6533095,-168136.687725,37671.5886854,114476.655422,10047.2690163,-254196.464186,307294.575485,185863.18278
4,187817.245046,-4840.48987701,-112941.311642,190912.74011,-74864.3007267,-151524.815082,-11714.5135716,170405.695903,-75932.458087,-98791.9648763,205662.517323,172639.68428
5,138462.995579,-203813.53103,-64116.5655829,-17112.6935516,-52094.9886565,-204282.590035,-10018.770774,159212.107158,-45531.391913,65381.3040696,65647.3921671,76768.7317366
6,15738.3595677,-268969.085744,159353.833085,-85861.2170935,-167263.233968,71410.7587895,149779.519645,223808.169884,-124077.219549,9638.40278705,-29270.6632917,244786.658186
7,63030.24595,-116690.071004,134305.95547,-105504.375687,-177707.854418,-5077.76748826,247107.825943,344314.663723,-166109.131766,66721.042187,198871.105041,238774.840658
8,-116651.140417,-46141.4958052,182232.057246,176494.798202,-64329.9437619,136799.024258,251624.424046,93917.4157268,-195198.641252,-19730.9413876,197030.001771,192795.325447
9,-203759.26016,142621.328858,224537.381675,126191.793637,-155533.661979,42005.4696453,289474.251113,112518.352683,-68419.6297802,17062.0839942,172119.956922,204089.289814
10,-374290.680961,204921.101412,179897.486657,-55708.8671463,-173338.437545,67337.5726886,-205089.553247,62706.0031219,-260781.777406,16477.0755188,181752.582169,210494.549945
11,-324029.188393,180355.457284,221370.629724,-70266.2358421,-335528.349686,48524.0912398,-138685.474866,-9503.19385279,-15305.0000366,-9168.84999917,239040.211799,19189.1309601
12,-316521.30942,260770.902099,80985.8629446,-80249.9836958,-370902.503659,60391.0178276,-142397.010621,-108893.663838,-68723.7055317,-267529.64415,35606.3459486,52652.5133222
13,-359113.48228,-89608.6073012,-1288.08919111,60788.8828942,-399384.828645,33182.2735013,-267407.125105,164292.73622,74149.0611573,-226766.324742,17849.2744537,-85875.1291374
14,-178755.855883,48043.2732747,-206529.006478,183623.866555,-216782.722331,40429.9021304,-138401.132892,106875.863191,-39382.464379,-182327.87719,-141176.90953,-257571.841582
15,-196047.196505,209571.304909,24519.2972759,166603.519937,-175241.642795,97084.2479045,-180774.529231,-11789.362049,-17930.6807685,-272393.287035,45913.5589666,-162341.127154
16,-226878.262215,109211.314627,55602.3084776,31892.4400692,-145803.457651,-12496.0905561,-262166.811987,89756.1724111,-2173.31315595,-366226.277277,12074.3713605,-125919.670151
17,-211628.645642,227260.296657,227388.121846,-38656.102029,-181822.922892,-67741.8088775,-73468.1529259,13775.3675066,102333.031472,-255866.276525,-119567.565038,-194844.857227
18,-157512.554034,165840.743828,192908.1243,163485.493083,-180468.337997,-54888.1453638,-21496.3802417,-108035.748727,3288.32517452,-125726.896157,-14126.697158,-292278.80411
19,-147845.210317,86567.499559,48733.8660899,256213.978202,-155356.171446,-53845.464481,-267289.789518,-197418.211291,79452.8028445,-151733.373581,-85101.2508551,-401604.191347
20,52627.8828315,52600.703188,61807.524064,229597.874608,41627.9943317,-123701.206905,-159073.839338,-211982.020545,-127571.475745,-20722.157113,-146738.15448,-104305.65768
21,-70286.5058795,58251.9266149,69690.9174537,39387.6224044,35896.7289317,-136353.231767,14769.6730712,-60358.7431306,-48819.4667317,126399.979729,15003.0423558,65701.7013018
22,-8356.90799481,141272.868866,196510.512524,-61967.4529702,27334.6453782,11784.284685,-23390.4372236,-66422.8273037,6456.6391653,-22801.6785204,104169.516016,-212193.046464
