time,fy_node_1,fy_node_23,fy_node_43,fy_node_61,fy_node_132,fy_node_114,fy_node_94,fy_node_72
94,-38269.2278125,41251.7188587,-203502.04938,-119059.063459,18887.5959135,-210522.721454,491580.454685,-28820.6574613
95,95699.4140675,7289.8913347,-246734.428543,-203015.207585,-271135.994794,-207030.257257,340309.501984,33548.0238303
96,259693.525106,188979.872372,-215582.072894,39551.1558531,-275450.145435,-318997.454937,441276.873174,212022.234366
97,214338.907573,257635.95004,-217551.408886,166581.027116,-172826.664631,-55773.3251635,607300.677001,217640.006674
98,181380.922611,-86378.6998425,-321114.326752,170175.366438,-111524.19846,105588.298591,396591.568262,255775.738515
99,275524.298152,-96019.8561874,-108961.696969,292993.316208,9558.42881503,33613.4774887,401280.741791,319107.271168
100,216762.800595,-80374.9506965,-38321.1521448,330181.407207,120504.930716,8870.0764031,497670.319136,181722.410829
101,111788.906442,-200719.998595,1099.62485354,260717.127258,63453.306236,-72995.1029741,385357.919857,224400.863837
102,208454.357267,-215612.857645,99743.3220236,143329.542212,149058.998935,-96408.2974686,242461.287949,409877.414635
103,209222.100521,-224340.567835,303906.819593,72655.9074308,320472.537201,80835.8367507,417676.167268,324019.30563
104,-61921.4466347,15716.1898414,360730.78174,-95068.9700233,270157.558278,22608.6252805,521593.508561,378634.031716
105,-49920.6271239,126418.952288,286412.486808,67376.7591493,76033.96653,89598.357621,401330.727627,560765.562392
106,9728.10835639,-35272.2329734,180887.087897,-87729.5088024,48989.4439521,114870.407227,383161.805217,363374.401855
107,-64561.2394402,56651.8126585,249857.746819,-150306.428728,115998.989113,-899.423915446,422032.072162,54951.2443808
108,82520.7096808,157170.159646,173353.539077,60979.2401323,94278.5530444,11826.0847426,390013.740555,122020.417897
109,196647.008714,47888.8830017,279145.087614,-76172.8148467,35771.7923848,39050.7774771,98145.8338358,255670.481992
110,237257.17686,-80936.6516278,159178.555146,-107434.956619,58983.9087146,221633.29577,259708.706113,165046.622877
111,344811.688447,-25280.9555502,48628.9515732,-55537.9412994,114584.733064,329623.827493,354650.669045,-9907.02613258
112,381251.029818,-51107.7893907,12421.7405113,-100674.401735,28390.2554977,374781.681813,135405.832898,-31839.1164249
113,188326.549163,-102892.506617,55697.2051467,-122285.533256,-230686.567894,328588.276884,331078.931008,-74028.5531329
114,185265.589035,-7180.00830073,-44687.410373,-60764.1451017,-98490.4380853,597778.208356,346712.523582,-1498.63571621
115,326636.061668,164891.294072,-93850.9468615,-45211.7600321,112761.780277,499228.915405,263297.165902,44918.185963
116,402228.431558,159855.489942,-141711.305398,-63968.1225331,52435.5105785,476690.053063,213052.97972,38908.9606561
117,286377.737341,488312.367278,-22053.7431168,-262889.587186,134115.823327,594146.405064,113968.237907,-115691.631638
118,141097.155047,439810.853016,4081.48855448,-157477.602733,101984.762228,504228.609645,142499.504318,-133602.431568
119,342793.841632,398974.124888,-118659.038665,-226838.019354,-137925.425257,415441.921625,178511.207803,-196577.096976
120,230031.80058,273986.540989,-216744.370706,-104279.022794,-78045.3005863,251840.906805,91180.0021494,-243032.095911
121,124768.788585,-72966.4657038,-235833.2699,-195827.467251,151950.099727,4013.09554548,81618.0946146,-237863.155873
122,88337.6323956,-172223.089096,-199097.927751,-79405.7274206,76899.5540902,59569.7034118,5435.33907859,-308754.395528
123,-27587.7042176,-143278.597551,-21417.8801231,-32227.7250208,132670.037223,99413.0296633,-102505.018798,-176984.888205
124,220601.672836,-312387.666892,154583.046841,-91613.020454,11357.8679869,80592.9166828,-185292.065254,-355361.144946
125,297958.304922,-39511.3734061,171749.096723,-252388.008259,-106044.684701,37027.2955829,-59005.8768119,-121963.221082
126,122639.30464,169855.928169,295380.54456,-199042.001424,7813.75149361,-88862.3044055,50189.0698471,-334011.484903
127,-43827.4543728,105345.143709,309823.644955,80200.6138407,-141126.554339,-154439.055012,-143495.605215,-417807.045219
128,48425.7005964,98607.5455742,457031.261949,12937.1167805,-328458.083019,-58605.2405701,-227767.29482,-567705.693153
129,213.440289294,-116256.5544,640115.475372,-34576.5148149,-146975.788419,-31931.596726,-258201.213844,-574755.582623
130,16.1860034436,-68318.5529174,559607.220155,60596.1877551,-152130.659183,11027.5688427,-127760.144772,-501734.332285
131,-166919.466675,-265714.480552,492208.836275,409229.101517,-155682.54054,-64952.1900937,-177273.382085,-603409.403931
132,-269041.950409,-239330.140861,312560.099535,423031.719722,-202353.123784,-213213.827919,-313812.412358,-496742.802303
133,-169629.614183,-284904.248077,111206.317975,561687.277912,46761.6122303,-23152.2663798,-238351.083184,-444800.205492
134,-444782.486774,-328437.074955,178437.905989,673178.657029,-166411.266537,86068.4269719,-279936.768871,-494158.723367
135,-377485.018728,-306589.403919,184610.96659,586383.130046,-59120.6586791,329576.032097,-26689.1845198,-400296.600652
136,-277327.131335,-258487.215814,231138.436071,309334.858137,-82916.7631646,290309.735775,-190651.672299,-382073.720908
137,-32516.0169824,-303012.602203,369416.283848,101870.725317,23116.9797487,281094.654586,-120051.185304,-393362.928047
138,-257791.323027,-251705.754387,323469.613729,-106032.186054,-28127.8531188,229122.250172,-59225.7336481,-351360.457365
139,-424948.945348,73210.2657417,152409.153652,-252660.779473,107422.377102,222736.847977,-58300.5732715,-495623.121101
140,-313287.653549,-126985.289182,236627.77412,-189819.128236,-176096.94348,289311.276214,-97455.0371485,-352500.864003
141,-267153.307208,-118474.843243,298597.925801,-16624.0236779,-83796.6213435,288031.929846,-196995.693039,-133567.189301
142,-157421.724566,-6058.22627016,244562.705789,26141.5963658,135737.236608,289208.81591,100009.190271,-88050.5835505
143,-326155.479446,-74255.0551425,255740.313555,202875.929569,-20476.668301,387570.357401,-42525.5714197,-38219.7188691
144,-385891.866714,-217866.679211,284239.197816,218152.866253,39084.2760472,419518.093071,35260.2035835,-8227.16940552
145,-348969.375765,-123217.594987,291842.934554,-10726.5159547,-78366.8708511,423558.033088,50564.6255554,147060.950267
146,-232000.216101,36173.5642531,368622.184171,18486.2261171,24922.2571021,395318.584336,263949.53763,336153.42029
147,-170215.846468,37745.0570515,553774.518064,181181.765883,94741.3373466,220348.00252,131233.404756,304539.139431
148,-180430.967615,-140111.705504,534712.20084,233194.97098,-61240.3840462,31307.1096503,18572.3034975,241858.194744
149,-35889.7559602,-28205.3229161,352918.220026,166092.085381,-84502.8736337,46037.2879612,62601.1838547,164935.475445
150,-114799.844502,-49879.0389883,280789.715061,-9848.73160584,-168330.780503,-97091.7023574,-44923.6621067,154699.786432
151,5911.67606651,316.936815171,15108.6096823,72116.2106793,-126697.654428,-130719.758886,-265799.736104,260148.975838
152,-88536.965172,-5631.71446076,104384.414919,37756.3490077,-131158.589475,-118343.224143,-164084.202199,53720.6657297
153,-91914.7276752,-121851.814988,70562.5823898,24445.8084837,-214252.11278,-224758.474178,-54484.8319704,-124456.268267
154,159703.807094,-6676.54327038,3999.04428404,72371.2659419,-319858.549756,-148389.900033,-138722.048562,-174973.571843
155,-102966.673131,-151189.870431,24723.069335,-61203.9737991,-95711.744906,-204331.677026,-336502.076796,-174074.166989
156,-125490.704615,-42343.3643565,16896.7767625,56819.3078304,-29618.459743,-170430.679437,-397361.396346,-66038.6247989
157,79546.1873833,125068.399687,-61596.9833364,-198078.411104,-1870.92954403,-322238.616483,-430742.205898,-4568.19104185
158,143318.21782,-67464.3015812,-183549.122603,-156439.672728,-154364.320415,-271486.027748,-480943.056157,71453.8656136
159,25843.1493208,-322121.900224,-226883.658088,48055.7915553,-363135.9767,-83857.228627,-354659.946129,-87180.1833012
160,78537.2643649,-190321.588803,-60335.379454,183197.303119,-308441.208626,-297385.068307,-221015.250074,-85139.4430285
161,58284.8098052,-236186.463972,142130.094374,233691.898816,-200590.684694,-332387.297771,-134267.960059,-209551.23221
162,68752.7446421,-322136.173164,206766.573401,157574.811558,-326070.190235,-422081.899923,-381995.081742,-26270.9946155
163,51557.6046639,-402694.506902,159568.340177,-62884.1001918,-192696.151046,-503441.932921,-425277.778659,-29462.9602219
164,-114559.408364,-118070.183814,-39649.8094389,-2540.73354744,-150849.378683,-432915.822333,-217188.461402,34763.5444244
165,-13728.2998659,-145262.808439,-8221.89787719,-99516.466503,-149209.544449,-349387.810211,-136459.921504,-69031.9817018
166,-143431.760866,5233.75773131,121531.905792,-184828.580539,-55116.6602915,-233017.958141,-133847.777193,190778.149791
167,-220825.742722,105067.453071,183248.377294,-252050.609902,142341.52757,-300060.338008,57945.9466255,307168.312403
168,-227973.339715,292623.784154,11367.0159746,-216299.600836,76624.5650777,-335645.551909,127497.756833,419139.73896
169,-229215.278205,308993.968579,-144395.361625,-46754.6842276,-1345.0327601,-303277.088574,214712.955681,302633.524095
170,-196524.968962,270932.372961,-86113.2752683,66146.3795494,113816.08345,-94631.5968679,11349.2666483,121835.874078
171,-224449.245701,216523.414712,-151190.003896,-35549.2141535,41895.0989278,-113174.023628,-329794.084302,240069.634008
172,-131572.664641,223162.830716,-88760.2393602,-51147.602176,-71126.5701767,-16362.4645924,-115695.714064,175456.331999
173,-64472.0475937,191399.642795,-110789.202326,185799.634938,265207.756729,-21834.5528238,-68150.8929668,272581.984913
174,-58264.8155544,203843.524729,-65030.7955374,134185.564587,36538.6168853,-55422.9725981,64133.4441964,283474.983406
175,56785.4094597,336980.704653,-69246.8166075,208038.376575,74574.2713061,-201628.588347,228635.035359,254342.434072
176,101669.170875,380320.183204,-110120.395817,149020.913337,16593.7981683,-340356.838087,137148.353206,178837.877997
177,178218.030507,298427.782177,-265146.367822,242432.522251,-21861.8145312,-388751.897747,136429.094062,185501.204729
178,233665.93764,241927.889392,-579624.917283,349496.551725,48078.9464421,-125969.089534,-62970.9637021,408952.884069
179,263839.011557,36607.94389,-570171.964108,338763.689127,329923.396085,-190930.43393,60580.9331398,271606.119816
180,36968.4581942,134820.920256,-538845.364428,220216.404433,76699.9737614,-303059.846564,175372.56224,115930.867242
181,-24516.6665442,118677.637024,-503835.14802,181131.905293,319114.118992,-274162.246347,41881.1468279,77730.7401146
182,89733.5080812,231318.676648,-666531.051512,86082.5655218,230757.566447,-62460.9110542,-16465.612107,60728.537551
183,130635.227749,213132.388904,-450204.692853,184806.453421,283737.909849,18964.5168448,-80711.8287377,100146.02487
184,159235.679473,342662.432736,-209815.37785,301657.793947,123739.565867,94643.1717859,17501.6149693,170593.155806
185,240827.280472,208620.240885,-112914.133634,386866.126476,40993.2738548,116246.620352,-59637.9865874,273937.729399
186,283823.005185,13999.5423307,8359.21170752,169303.461023,436618.203486,94628.0359618,-93041.4176693,299105.298851
187,223532.910047,-61109.621737,40259.5188428,202791.12845,390754.213988,147073.949488,-181219.822935,376454.706166
188,439066.39051,137711.555591,-141937.907058,209672.892838,401576.038984,123290.082895,-24383.3982247,279508.17423
189,351421.734094,334514.541422,-105304.767697,10774.6401889,473781.173549,54162.8389114,65444.993665,250246.979638
190,472323.4523,443612.941727,-56462.800521,291186.673305,521483.176286,14608.7797043,46491.2112334,237639.362475
191,451156.152951,397834.736754,-123260.31521,213895.532416,437828.453042,158186.826718,-20636.021674,39609.1450202
192,321683.467658,191706.604343,-90946.3181253,265700.127452,363448.943554,300295.058574,-75629.8056294,136373.544228
193,111654.168315,268707.126351,-146181.746858,223505.86075,394904.20926,352836.559898,120263.375087,168265.989992
194,277126.31942,128625.937606,-29771.0281967,264114.930232,283668.384241,232322.540217,160815.410857,204051.676684
195,187862.735794,130415.899015,-79707.7278648,149838.007011,320812.918124,36424.3718065,218051.193725,554127.635492
196,91570.9530257,-21065.4470193,-250416.89687,-66481.3109472,27832.3618382,68811.8550042,259502.598172,371847.801474
197,19783.1891643,-107461.153146,-160675.502783,88461.5105067,149832.97357,117700.931413,328078.321588,125264.307091
198,-62227.313213,-93802.8764937,-303382.266987,137326.263978,91775.3808393,145798.196641,243905.507523,56191.861535
199,-184954.880116,-142167.083839,-120136.657526,13479.8559474,49054.9111267,426888.667498,206177.724506,53236.2416586
200,-146960.543417,-283124.374803,-1664.00250477,44505.13731,-116116.71743,468996.877292,-14111.0993727,49427.0218138
201,-91287.1995697,-382321.393979,17804.8067068,-215860.920049,-242386.221527,409637.017148,-161871.029918,-5422.05737736
202,-34622.2920118,-259251.226978,-61590.8072359,-71340.829411,-91363.8907006,375867.075026,-166697.41117,-48421.22722
203,168882.969181,-190534.253868,-243333.598251,241737.447512,56692.3950373,362867.284303,-315838.259537,-20755.6811878
204,205692.587547,-317532.952461,-235439.486026,396775.965363,-17185.823295,492244.822378,-365779.894936,-39058.794448
205,-68536.7394043,-252171.127789,-289995.510505,297342.58876,16357.8545715,361974.063242,-256086.710334,-43861.2119318
206,-103935.206992,-62295.4288941,-54634.7839465,-53702.5245012,-4293.67665595,408282.160214,-478100.805579,-165384.340093
207,-4679.99265561,-184983.687205,7836.60064096,110124.908681,139241.141603,288534.826899,-285393.959603,-280967.448238
208,-44775.1005952,-211152.03001,-57964.8349329,348933.689484,-16420.5615566,236628.38624,-120607.235513,-210369.063753
209,-170196.635776,-211211.459521,-370723.2729,317607.927777,54165.2321204,325949.488931,-182008.603671,-139644.743423
210,20863.3189591,-106919.190113,-422179.797939,282519.469321,70076.8636311,157936.942018,-300673.538502,-147382.877077
211,81595.240588,104731.997603,-40062.0579209,226515.99604,106137.627581,184157.505261,-208196.849255,-189416.493967
212,161880.482356,85314.4514623,175655.894511,145251.775875,39237.9643349,128115.40061,-227339.999731,-131898.714135
213,346112.391406,28225.489825,119192.670735,138693.079614,-82322.6146589,77375.164355,-86275.0781618,-151240.872448
214,154349.20411,36338.5904361,160529.558477,188291.72718,-272438.083875,208747.92202,-107161.846577,-262220.928922
215,281993.456831,-154238.351877,2160.0950549,213725.470274,-28140.9290373,397831.387948,92328.1173205,-198236.764939
216,249056.923313,5047.23831719,-177705.026643,25120.3656365,106850.37166,249553.835354,-57671.9020005,-317191.324444
217,22343.6347689,18840.1027601,-1049.27236229,-78494.5532409,-73201.7067863,112717.748489,-273384.31645,-361273.965078
218,-90691.3761866,114086.602501,28381.5260654,-178556.589845,-198270.729808,16686.8570715,-115459.827763,-346548.959746
219,-245571.29993,177630.332366,-135263.068407,-344095.784709,-151318.083648,-25730.0988469,1659.91479775,-389360.10359
220,-93189.3626118,97995.0645247,-227483.944141,-285158.021027,-70723.2954143,83960.5911363,-20194.7143318,-97476.7665603
221,-120010.024188,207377.926561,-352409.652682,-156088.813948,110540.146005,20594.0851169,12208.2110097,28336.4643827
222,-31986.9166864,36087.7183836,-3491.59347259,-43830.9814983,246613.917836,70982.4879829,187726.348563,43810.0248283
223,-216178.179844,67708.7645936,105801.648852,346538.499898,276213.248744,46530.5881133,183702.129854,114951.20044
224,-145514.022348,189971.672561,12040.520487,282518.648201,445846.031023,-97010.2506007,40061.2077839,333240.509093
225,-55409.5384956,147711.618024,142328.731594,242439.779226,450813.417941,-114543.209592,98278.053045,129935.520639
226,-199199.547076,164942.616564,194583.977873,135628.17106,346569.140666,73987.9617684,170496.770606,124564.37717
227,-316021.49677,14766.668903,112519.471971,199726.559414,294033.16299,98970.977776,287376.361493,143921.801352
228,-224565.04142,24419.4632365,-85813.5746173,184015.665204,254404.026573,133403.329708,293490.910263,201987.972743
229,-48988.0783137,205405.911644,26524.1255926,146600.139637,235565.785054,103040.123221,172242.459497,218469.414696
230,-199078.656522,211668.190765,-57231.8703032,219617.496231,337614.344486,87120.82258,217238.44455,154228.454903
231,53482.8576278,101978.640249,-96985.7431518,195914.093581,183803.516195,105436.863842,105784.917044,221065.946246
232,200129.116943,132310.832471,-123405.77893,-41942.0487677,-36937.0591789,170816.883032,-35088.8509201,62835.4777852
233,33843.3929401,179185.173887,28159.2901737,-114175.296375,10901.4748996,-31459.5014588,183767.595198,139744.52277
234,-84367.5304052,94150.9610586,-9191.07441636,30271.8462853,106605.124769,-97389.4363049,223278.222881,379209.520271
235,-80919.4114112,12359.3969143,33554.4983252,-71165.408625,65307.9504652,-143415.916667,101732.168111,497289.773769
236,-75187.8729203,-113394.575231,-211370.052614,-106967.133228,221413.029096,-404789.00383,153522.991891,421222.880835
237,-114876.807198,5917.00936848,-271492.15787,-154011.11924,169531.076296,-560984.822871,-157459.298685,585173.18306
238,-47639.037444,250226.404664,-62872.8993988,-160038.425468,75786.1843722,-478548.851551,-110767.368233,191596.678982
239,-115025.865357,315902.170797,-105735.745788,-291015.093526,43586.0440998,-390437.387256,202708.257274,87167.529747
240,-216277.339024,98846.2345269,-84018.9069389,-601165.40394,-43533.1905664,-543302.388992,151334.816875,222858.391669
241,-218038.124162,114307.239504,-137921.98843,-570404.376933,35169.5442747,-497266.457193,199967.812865,281094.041956
242,-310980.152363,338593.892781,-212867.981946,-510685.750531,-69914.1850756,-488898.042321,114348.949866,262216.536074
243,-267271.232944,125492.120042,-19869.3953196,-524387.278591,-266011.045972,-378855.061253,298663.098318,133378.804061
244,-129171.773415,199673.218118,-87083.9628715,-363970.387782,-405218.999243,-505647.145402,208319.534444,113991.844347
245,-40856.2020712,116478.173816,-87492.5533131,-418803.97222,-199059.698351,-483334.407579,285338.35402,201322.121193
